week,team,opponent,AB,H,R,HR,RBI,BB,SO,NSB,AVG,TB,IP,ERA,WHIP,K,W,L,QS,NS,BAA,official_score_for,official_score_against
17,Dixon Cider,Me So Heorny,331,96,55,17,57,38,82,10,0.290,169,57.2,3.43,1.231,52,6,2,6,2,0.237,12.5,3.5
17,Me So Heorny,Dixon Cider,344,89,40,12,49,28,75,10,0.259,138,79.2,5.08,1.331,88,3,5,2,5,0.268,3.5,12.5
17,Goodyear Gila Monsters,You Don't Know Bo,332,86,56,15,44,43,83,8,0.259,159,65,2.91,1.015,62,4,2,7,6,0.215,15,1
17,You Don't Know Bo,Goodyear Gila Monsters,296,58,33,8,31,22,58,2,0.196,97,57.1,3.92,1.343,58,3,4,2,3,0.237,1,15
17,John's Super Team,BTA Boyz,323,77,33,7,28,34,77,11,0.238,114,55.1,3.9,1.337,66,3,1,3,9,0.248,6.5,9.5
17,BTA Boyz,John's Super Team,281,68,43,9,28,26,61,2,0.242,112,62,1.89,0.968,62,4,2,7,0,0.203,9.5,6.5
17,This Is Mizerable,Mactown MacDaddies,340,84,33,6,34,28,81,3,0.247,115,71.1,2.78,1.065,70,1,5,8,3,0.176,8,8
17,Mactown MacDaddies,This Is Mizerable,282,67,45,11,40,40,74,4,0.238,113,39.2,5.22,1.235,33,2,3,2,1,0.244,8,8
18,Gunnarrhea,Goodyear Gila Monsters,319,87,49,15,43,30,75,3,0.273,150,68,4.1,1.176,68,3,5,3,8,0.241,5,11
18,Goodyear Gila Monsters,Gunnarrhea,321,79,60,17,43,26,71,3,0.246,146,80.1,2.13,1.021,74,7,4,9,1,0.191,11,5
18,BB's Bold Team,Dixon Cider,275,67,50,13,42,32,71,6,0.244,117,65.1,3.99,1.393,77,7,5,4,1,0.255,8,8
18,Dixon Cider,BB's Bold Team,298,69,37,8,37,42,60,4,0.232,107,65,3.46,1.262,71,5,2,6,3,0.231,8,8
18,Mactown MacDaddies,BTA Boyz,285,69,41,12,38,48,84,4,0.242,116,41.1,4.79,1.524,40,3,3,2,2,0.299,8,8
18,BTA Boyz,Mactown MacDaddies,272,56,37,10,28,25,76,1,0.206,94,69.2,3.49,1.163,51,6,3,5,2,0.208,8,8
18,Me So Heorny,John's Super Team,309,76,33,9,33,29,87,6,0.246,120,69,3.26,1.188,79,3,5,5,5,0.227,9,7
18,John's Super Team,Me So Heorny,308,80,45,16,46,39,86,5,0.260,143,48.1,4.84,1.448,50,1,7,1,0,0.234,7,9
18,You Don't Know Bo,This Is Mizerable,294,82,34,7,33,25,55,3,0.279,120,41.1,3.05,1.065,48,4,2,2,2,0.197,7,9
18,This Is Mizerable,You Don't Know Bo,287,76,50,13,50,31,66,5,0.265,132,56.1,5.43,1.438,60,3,4,4,3,0.269,9,7
19,BTA Boyz,You Don't Know Bo,268,72,32,8,42,35,62,6,0.269,109,95.1,3.87,1.196,78,6,5,6,1,0.229,8.5,7.5
19,You Don't Know Bo,BTA Boyz,274,57,28,10,25,18,60,6,0.208,94,63.0,3.14,1.079,57,3,5,7,1,0.211,7.5,8.5
19,BB's Bold Team,John's Super Team,285,63,40,13,42,32,69,4,0.221,114,74.1,3.63,1.197,58,2,5,6,4,0.219,11,5
19,John's Super Team,BB's Bold Team,290,63,42,5,15,29,75,3,0.217,95,59.1,3.03,1.028,57,1,2,4,3,0.200,5,11
19,Gunnarrhea,Dixon Cider,282,78,48,13,44,37,62,3,0.277,139,74.1,3.51,1.063,72,5,5,5,2,0.206,10.5,5.5
19,Dixon Cider,Gunnarrhea,276,79,47,13,38,32,60,2,0.286,143,50.1,4.11,1.371,51,2,3,4,4,0.234,5.5,10.5
19,Mactown MacDaddies,Me So Heorny,293,80,41,10,41,40,68,5,0.273,132,42.1,3.19,1.181,32,4,0,3,2,0.234,8,8
19,Me So Heorny,Mactown MacDaddies,294,64,40,9,34,34,58,2,0.218,106,61.1,2.79,1.141,55,5,2,4,4,0.217,8,8
19,Goodyear Gila Monsters,This Is Mizerable,310,67,44,16,40,38,64,-1,0.216,127,68.2,4.33,1.296,78,2,6,5,9,0.268,8.5,7.5
19,This Is Mizerable,Goodyear Gila Monsters,304,64,35,6,27,36,63,1,0.211,95,67.0,2.96,1.104,64,4,3,5,3,0.187,7.5,8.5
20,Gunnarrhea,This Is Mizerable,314,74,43,9,29,38,81,-1,0.236,120,65.0,3.18,1.169,60,5,4,3,8,0.197,6.5,9.5
20,This Is Mizerable,Gunnarrhea,283,68,45,5,27,38,59,5,0.240,93,65.1,2.62,1.102,80,5,4,4,3,0.199,9.5,6.5
20,BB's Bold Team,Mactown MacDaddies,322,85,53,14,42,32,57,9,0.264,146,60.0,4.8,1.500,55,2,3,3,7,0.305,10.5,5.5
20,Mactown MacDaddies,BB's Bold Team,285,80,43,10,39,35,72,3,0.281,130,40.2,3.54,1.279,43,2,4,1,2,0.260,5.5,10.5
20,Dixon Cider,John's Super Team,296,72,42,11,31,40,73,5,0.243,118,57.0,2.84,1.404,58,3,2,5,1,0.243,14,2
20,John's Super Team,Dixon Cider,298,72,32,6,20,25,78,5,0.242,100,55.1,5.04,1.500,51,5,4,2,1,0.269,2,14
20,Goodyear Gila Monsters,BTA Boyz,354,108,58,19,68,32,87,7,0.305,190,57.1,4.24,1.395,67,4,4,3,5,0.261,10,6
20,BTA Boyz,Goodyear Gila Monsters,254,71,39,11,34,24,61,1,0.280,124,68.0,4.43,1.116,59,7,1,6,1,0.225,6,10
20,You Don't Know Bo,Me So Heorny,293,80,35,9,36,26,66,-1,0.273,125,54.1,3.31,1.123,63,3,3,4,7,0.237,13,3
20,Me So Heorny,You Don't Know Bo,336,76,34,8,39,19,82,2,0.226,113,61.2,6.71,1.589,65,1,5,1,6,0.279,3,13
